1395	I have to go to bed.	3018979	Res yw dhymm mos dhe’n gweli.
1434	I love you.	3034052	My a’th kar.
1437	Congratulations!	3280877	Keslowena!
1705	I'm tired.	3280883	Skwith ov.
1758	I am married and have two children.	3101850	Demedhys ov hag yma dhymm dew flogh.
1814	I'm thirsty.	2981134	Yma seghes dhymm.
1862	It is raining.	3289805	Yma ow kul glaw.
1862	It is raining.	3289806	Glaw a wra.
1881	I read a book while eating.	3050382	My a redyas lyver ha my ow tybri.
1900	My little brother is watching TV.	3289991	Yma ow broder byghan ow mires orth an bellwolok.
2168	Where are you?	3277187	Ple’th esos ta?
2168	Where are you?	3277188	Ple’th esowgh whi?
2300	They are waiting for you in front of the door.	3280720	Ymons i orth dha wortos a-dherag an daras.
2446	How beautiful you are!	3113595	Ass os ta teg!
6117	I have to write a letter. Do you have some paper?	3278303	Res yw dhymm skrifa lyther. Eus genes paper?
15882	Do you live here?	3018894	Os ta trigys omma?
16196	I suppose you're hungry.	3303426	Gwag os, dell dybav.
16254	How many books do you have?	3280439	Py lies lyver eus dhis?
16254	How many books do you have?	3280440	Py lies lyver eus dhywgh?
16255	What are you looking for?	3289977	Pyth esowgh hwi ow hwilas?
16255	What are you looking for?	3289978	Pyth es’ta ow hwilas?
16300	Can you swim?	3280813	A wodhes ta neuvya?
16300	Can you swim?	3280814	A wodhes ta neyja?
16300	Can you swim?	3280816	A wodhowgh hwi neyja?
16300	Can you swim?	3280817	A wodhowgh hwi neuvya?
16492	What are you doing?	3289532	Pyth esos ta ow kul?
16525	You have many books.	2980439	Yma dhis lies lyver.
16525	You have many books.	3101798	Yma dhywgh lies lyver.
16733	You will catch cold.	3319945	Ty a wra anwosi.
16881	Where are your eyes?	3296936	Ple’ma dha dhewlagas?
17150	Where do you come from?	3326113	A ble’th os ta devedhys?
17150	Where do you come from?	3326115	A ble’th owgh hwi devedhys?
17283	Where is your school?	3298397	Ple’ma dha skol?
17283	Where is your school?	3298406	Ple’ma’gas skol?
17363	Your dress is very nice.	3040783	Pur deg yw dha bows.
17660	Who is your teacher?	3289508	Piw yw dha dhyskador?
17660	Who is your teacher?	3289509	Piw yw agas dyskador?
19475	Will you drink wine instead of milk?	3290045	A vyn’ta eva gwin yn le leth?
19904	The customer did not come.	2999893	Ny dheuth an prener.
20097	You are beautiful.	3298278	Teg os ta.
20097	You are beautiful.	3298280	Teg owgh hwi.
20571	Is there a pen on the desk?	3290054	Eus pluven war an desk?
22122	Good morning, everybody.	3290294	Myttin da, oll an bys!
22127	Good morning, everyone.	3290294	Myttin da, oll an bys!
24247	We have two television sets.	3326986	Yma diw bellwolok dhyn.
24759	What do you want to do?	3290453	Pandr’a vyn’ta dhe wul?
25000	What are you going to do?	3290453	Pandr’a vyn’ta dhe wul?
26170	Can you speak English?	1979966	A wodhesta kewsel Sowsnek?
26172	Speaking English is very difficult for me.	3289926	Pur gales yw ragov kewsel Sowsnek.
26186	Speaking English is not easy.	3289773	Nyns yw es kewsel Sowsnek.
26192	To speak English is not easy.	3289773	Nyns yw es kewsel Sowsnek.
26260	English is the world's language.	3355483	Sowsnek yw yeth an bys.
26260	English is the world's language.	3355486	Sowsnek yw taves an bys.
26270	English is not easy for me.	3277174	Nyns yw Sowsnek es ragov.
26296	Is English spoken in Canada?	3304554	A gewsir Sowsnek yn Canada?
28971	I have a cat and a dog.	3017264	Yma dhymm kath ha ki.
29056	I am more beautiful than you.	3323420	Tekka ov agesos sy.
29056	I am more beautiful than you.	3323421	Tekka ov agesowgh hwi.
29612	I am eating an apple.	2999784	Yth esov vy ow tybri aval.
29636	Some apples fell down from the tree.	3289830	Nebes avalow a godhas yn-nans a’n wedhen.
29912	I can't sleep well.	3296966	Ny allav koska yn ta.
30295	It may rain soon.	3289839	Martesen y hwra glaw kyns pell.
30295	It may rain soon.	3289840	Martesen y hwra glaw yn skon.
30762	If I had enough money, I would buy that nice car.	3280942	Mar pe arghans lowr dhymm, prena an karr-tan teg-na a wrussen.
30844	If it were Sunday today, we would go fishing.	3298372	Mar pe dy’Sul hedhyw, ni a wrussa mos dhe byskessa.
33857	Helen, this is my cousin.	3289941	Helen, homm yw ow heniterow.
33857	Helen, this is my cousin.	3289943	Helen, hemm yw ow henderow.
34097	Thank you for your present.	3319709	Meur ras a’th ro.
34227	Mrs. Brown understands Japanese.	3290296	Mres Brown a gonvedh Nihonek.
34569	Bill has many friends.	3303428	Yma lies kothman dhe Wella.
34569	Bill has many friends.	3303430	Yma lies koweth dhe Wella.
34569	Bill has many friends.	3303436	Yma lies kowethes dhe Wella.
35571	Yes, she will.	3018817	Mynn.
35571	Yes, she will.	3018818	Gwra.
35589	Yes, two.	3310729	Eus, yma dew.
35589	Yes, two.	3310730	Eus, yma diw.
36547	It can be used as a knife.	3299885	Y hyllir y usya avel kollel.
36584	How's the weather?	1979985	Fatel yw an gewer?
36880	Tracy lost her glasses.	3280749	Tracy a gollas hy dewweder.
37234	Where was Tom born?	3319892	Ple feu Tom genys?
37321	Tom can swim as fast as you.	3289980	Tom a yll neuvya mar skav avelos.
38820	Please forgive me.	3101738	Gav dhymm, mar pleg.
38820	Please forgive me.	3101739	Gav dhymm, my a’th pys.
38820	Please forgive me.	3101740	Gevewgh dhymm, mar pleg.
38820	Please forgive me.	3101741	Gevewgh dhymm, my a’gas pys.
38955	German is not an easy language.	3323350	Nyns yw Almaynek yeth es.
39159	Mary likes watching TV.	3295695	Da yw gans Maria mires orth an bellwolok.
39600	There is a book on the table.	3290445	Yma lyver war an voos.
40038	Give me a drink, please.	3280875	Ro dhymm diwes, mar pleg.
40223	I don't have a ticket.	3323517	Ny’m beus tokyn.
40223	I don't have a ticket.	3323518	Nyns eus tokyn dhymm.
40662	I don't smoke.	3323316	Ny vogav.
41719	Turn it off.	3280586	Skwych ev yn farow.
42097	It is a book.	3018768	Hemm yw lyver.
42789	I think it's a good idea.	3289898	Tybyans da yw, dell brederav.
44238	There wasn't anyone in the room.	3304389	Nyns esa den vyth y’n stevel.
44340	The beautiful woman is kind.	3323426	Kuv yw an venyn deg.
44863	That store sells meat and fish.	3345440	Kig ha pysk a werth an gwerthji na.
45011	The bird is in its nest.	3319766	Yma’n edhen yn hy neyth.
45013	Is the bird alive or dead?	3295691	Yw an edhen byw po marow?
45074	There is a market in the town.	3298338	Yma marghas y’n dre.
46755	Who wrote the letter?	3296921	Piw a skrifas an lyther?
48623	Where is the bank?	3325245	Ple’ma’n arghantti?
48690	The church stands on the hill.	3280472	Yma’n eglos war an vre.
51532	Mr Smith is a good teacher.	3014926	Mr Smith yw dyskador da.
52023	Brilliant!	3075206	Bryntin!
52023	Brilliant!	3075208	Splann!
52118	Come back soon.	3289983	Dehwel yn skon!
52588	John is my nephew.	3034172	Yowann yw ow noy.
52836	I'd like to speak to John Warner.	3289965	My a garsa kewsel orth John Warner.
53017	I'd like to speak to Judy.	3319843	My a garsa kewsel orth Judy.
53815	Jane comes from Australia.	3319792	A Ostrali yth yw Jane devedhys.
53865	Jane seems to have a new boyfriend.	3323344	Yma karer nowydh dhe Jane, dell hevel.
53865	Jane seems to have a new boyfriend.	3323345	Y hevel bos karer nowydh dhe Jane.
54013	Goodbye, Sayoko.	3339209	Duw genes, Sayoko.
54219	Would you like a cup of tea now?	3289768	A garses ta kavos hanafas a de lemmyn?
54219	Would you like a cup of tea now?	3289770	A garsewgh hwi kavos hanafas a de lemmyn?
54973	Who broke this?	3290055	Piw a dorras hemma?
55399	This is a book.	3018768	Hemm yw lyver.
55629	This is the house where my uncle lives.	3332873	Hemm yw an chi mayth yw ow ewnter trigys.
55738	This is a dog.	2980700	Hemm yw ki.
55749	Is this your bicycle?	3280770	Yw hemma dha dhiwros?
55749	Is this your bicycle?	3280772	Yw hemma dha dhiwros jy?
55752	This is for you.	3319736	Ragos sy yw hemma.
55752	This is for you.	3319737	Ragos sy yw homma.
55975	Is this your book?	3355466	Yw hemma dha lyver?
55975	Is this your book?	3355467	Yw hemma dha lyver jy?
55975	Is this your book?	3355468	Yw hemma agas lyver?
55975	Is this your book?	3355469	Yw hemma agas lyver hwi?
56910	This book is new.	3039155	Nowydh yw an lyver ma.
56911	This book was new.	3322971	Nowydh o an lyver ma.
57357	Don't read in this room.	3299886	Na red y’n stevel-ma.
57357	Don't read in this room.	3299887	Na redyewgh y’n stevel-ma.
57556	This is good meat.	3303542	Hemm yw kig da.
57756	Are there any bags in this shop?	3018972	Eus seghyer y’n gwerthji ma?
57756	Are there any bags in this shop?	3018973	Eus seghyer y’n shoppa-ma?
59607	What is the meaning of this phrase?	3289522	Pyth yw styr an lavar-ma?
60349	This apple is sweet.	2999565	Hweg yw an aval ma.
60529	May I use this pen?	3344837	A allav vy usya an bluven ma?
61137	This coffee is not hot enough.	3297080	Nyns yw tomm lowr an koffi-ma.
61614	This is a hospital.	3355488	Hemm yw klavji.
61614	This is a hospital.	3355489	Klavji yw hemma.
61763	There are five pencils here.	3067205	Yma pymp pluven blomm omma.
61770	Here is your dog.	3034065	Ottomma dha gi.
62256	Would you like another cup of coffee?	3101808	A garses ta kavos hanafas aral a goffi?
62478	Ken is happy.	3344636	Lowen yw Ken.
63082	Thank you for the beautiful flowers.	3280999	Meur ras dhis a’n bleujyow teg.
64158	How is the weather?	1979985	Fatel yw an gewer?
64199	I'd like a cup of tea.	3332861	My a garsa kavos hanafas a de.
64364	What's your daughter's name?	3306693	Pyth yw hanow dha vyrgh?
64364	What's your daughter's name?	3306694	Pyth yw hanow agas myrgh?
64405	Could you help me?	3290473	A allses ta ow gweres?
64405	Could you help me?	3290474	A allsewgh ow gweres?
64424	I received your letter.	2980702	My a dhegemeras dha lyther.
64833	Good night, Mom.	3280735	Nos da, Mammik.
64833	Good night, Mom.	3280737	Nos dha, Mammik.
64930	My aunt has three children.	3018821	Yma dhe’m modrep tri flogh.
64997	Ottawa is the capital of Canada.	3280782	Ottawa yw penncita Canada.
64997	Ottawa is the capital of Canada.	3280784	Penncita Canada yw Ottawa.
