566402	David Beckham es inglés.	566090	David Beckham je Anglež.
783605	Esta tierra es mi propiedad.	2155118	Ta zemljišča je moja lastnina.
2135537	No quiero traducir esta frase.	2125361	Nočem prevesti te povedi.
1762299	La BBC es mi canal favorito.	3668641	BBC je moj najljubši program.
590879	No seas tonto.	3667425	Ne bodi neumen.
656878	Mañana es domingo.	1543770	Jutri je nedelja.
3177423	¿Qué pasó con el resto de la comida?	2202448	Kaj se je zgodilo z ostalo hrano?
4728509	Ambos somos de Alemania.	3811506	Iz Nemčije sva.
4728508	Somos de Alemania.	3811506	Iz Nemčije sva.
4728508	Somos de Alemania.	3811504	Iz Nemčije smo.
622281	Bésame.	566062	Poljubi me.
1650736	Tengo tantas cosas que no necesito.	5810494	Imam dosti stvari, ki jih ne potrebujem.
2110643	Voy a la playa.	5975770	Grem na plažo.
5975732	Me voy a la playa.	5975770	Grem na plažo.
341469	Tengo muchos libros.	2394446	Imam veliko knjig.
6172296	El libro es chico.	2155071	Knjiga je mala.
6621864	Mañana estaré mejor.	6603627	Jutri bom boljši.
6621866	¿Quién está ya despierto?	6601760	Kdo je že buden?
6623312	Tom vive solo en el bosque.	3481149	Tom živi sam v gozdu.
6623320	Mi padre me ayudará económicamente.	2117483	Moj oče mi bo pomagal finančno.
5766870	El jilguero es un pájaro muy interesante.	3941312	Lišček je zelo zanimiva ptica.
7098099	Los gatos habitualmente maúllan.	2449800	Mačke navadno mijavkajo.
2081562	No quiero ser diferente.	8020900	Nočem biti različen.
1914548	El agua no está fría.	8808593	Voda ni hladna.
