1030850	Esta información es confidencial.	1827004	یہ اطلاع مخفی ہے۔
1030862	¿Cuál fue la causa de la discusión?	1827008	تمہاری لڑائی کی وجہ کیا تھی۔
1731715	Jane insistió en que tenía razón.	1928527	جین نے اصرار کیا کہ وہ صحیح ہے۔
3695253	¿Cómo se dice?	3695255	کےسے کھوگے؟
3788584	Puedes intentar adivinarlo tres veces.	3788595	آپ تین موقعے لےسکتے ہیں
3788611	No funciona nada.	3788621	کچ بھی کام نہیں کر رہا
4571599	Aprende a ayudar a los demás.	4571441	دوسرون کی مدد کرنا سیکھو
4844535	Si no es ahora, ¿cuándo?	4844549	اب نہیں تو، کب؟
6393133	No funcionará.	1450822	یہ کام نہیں کرے گا۔
7722409	Los beduinos viven en el desierto.	8135868	بدو لوگ ریگستان میں رہتے ہیں۔
4524003	¿Qué mesa?	5148045	کونسا میز؟
8234982	No fue un error de Tom.	6055406	وہ ٹام کی غلطی نہیں تھی۔
8234987	¿Qué diente le duele?	2123960	کونسے دانت میں درد ہے؟
8235010	Me estoy pesando.	2116717	میں اپنا وزن کر رہا ہوں۔
8235035	Leila se puso a gritar.	6313740	لیلہ چیخنے لگی۔
9151901	Además de ser un médico, también era un famoso novelista.	1535361	ڈاکٹر ہونے کے علاوہ وہ ایک مشہور مصنف بھی تھا۔
