4196757	Je me réjouis d'être celle qui te le dit.	6442925	মই আপোনাক জনোৱাজন হোৱাৰ বাবে সুখী।
6775735	En 1957, l'Union Soviétique envoya une chienne nommée Laika dans l'espace.	6406034	১৯৫৭চনত ছোভিয়েট ইউনিয়নে লাইকা নামৰ এজনী কুকুৰক মহাকাশলৈ পঠাইছিলে।
4904052	Je n'ai pas vraiment le choix.	6406032	মোৰ কোনো সঁচা পছন্দ নাই।
6775739	Ils ont réclamé la fin des combats.	6406031	সিহঁতে কাজিয়াটো শেষ হোৱা বিচাৰিছে।
3686	Il pleut.	6969770	বৰষুণ দি আছে।
3635	Il fait froid.	8623854	বতৰটো ঠাণ্ডা।
3635	Il fait froid.	8623855	ঠাণ্ডা দিছে।
3508	Aujourd'hui, il fait très chaud.	8623621	আজি সঁচাকৈ বৰ গৰম দিছে।
3508	Aujourd'hui, il fait très chaud.	8623856	আজি খুব গৰম দিছে।
8422	Il fait très froid aujourd'hui.	8623862	আজি বৰ ঠাণ্ডা দিছে।
8421	Il y a du vent aujourd'hui.	8623864	আজি বতাহ বলি আছে।
8302	Il faisait très froid hier matin.	8623865	যোৱাকালি ৰাতিপুৱা বৰ ঠাণ্ডা দিছিল।
8294	Il faisait plus froid hier qu'aujourd'hui.	8623867	আজিতকৈ যোৱাকালি বেছি ঠাণ্ডা আছিল।
8293	Il faisait froid hier.	8623868	কালি ঠাণ্ডা দিছিল।
8288	Il faisait chaud hier.	8623869	কালি গৰম দিছিল।
4368	Il a neigé toute la nuit.	8623872	ওৰে ৰাতি বৰফ পৰিছে।
15793	Il neigera demain.	8623874	কাইলৈ বৰফ পৰিব।
15793	Il neigera demain.	8623875	কাইলৈ তুষাৰপাত হ'ব।
13757	Selon la radio, il va pleuvoir demain.	8623876	ৰেডিঅ'ৰ মতে, কাইলৈ বৰষুণ দিব।
13757	Selon la radio, il va pleuvoir demain.	8623877	ৰেডিঅ'মতে, কাইলৈ বৰষুণ দিব।
9907	Il semble pleuvoir.	8623878	বৰষুণ দিব যেন লাগিছে।
8441	Je pense qu'il va pleuvoir aujourd'hui.	8623879	মোৰ মতে আজি বৰষুণ দিব।
9386	Il faisait froid, et en plus, il y avait du vent.	8623888	ঠাণ্ডা দিছিল আৰু লগতে বতাহো বলি আছিল।
8456	Il fait horriblement chaud aujourd'hui.	8623895	আজি বিৰাট গৰম দিছে।
12559	Il va probablement neiger demain.	8623898	কাইলৈ বৰফ পৰিব হবলা।
12559	Il va probablement neiger demain.	8623899	কাইলৈ সম্ভৱতঃ তুষাৰপাত হ'ব।
403910	Va te faire foutre !	8624017	যা কেলা!
2368680	Boycottez Facebook.	8625776	ফে'চবুক বহিষ্কাৰ কৰক।
4535416	Elle n'a pas de compte Facebook.	8625789	তাইৰ ফে'চবুক একাউণ্ট নাই।
4535416	Elle n'a pas de compte Facebook.	8625790	তেওঁৰ ফে'চবুক একাউণ্ট নাই।
8359668	Y fait pas chaud même si l'hiver est beau.	8652555	ঠাণ্ডা পৰিছে আৰু শীতকাল সুন্দৰ।
5259925	Elle est ici ?	8755000	তাই ইয়াত আছেনে?
331233	Paris est la capitale de la France.	8757008	পেৰিছ ফ্ৰাঞ্চৰ ৰাজধানী।
2348322	Vas-tu oui ou non nous aider ?	9132891	আপুনি আমাক সহায় কৰিব নে নাই?
1175530	Tu me fais marcher !	9530219	তুমি ধেমালি কৰি আছা!
