341823	Cela a surpris de nombreuses personnes.	2883653	Bu bir çox adamı təəccübləndirdi.
458727	Ne sois pas si excité.	2887987	Çox qapılma.
485243	Ne me parle pas !	2883661	Mənimlə danışma!
494537	Je suis journaliste.	2852638	Mən jurnalistəm.
551913	Nous apprenons le chinois.	3453086	Çin dilini öyrənirik.
575123	Dépêchons.	2887920	Tələsək.
575124	Dépêchons-nous.	2887920	Tələsək.
916435	Même sans maquillage, elle est très mignonne.	2887963	Makiyajsız belə çox xoşdur.
1348485	Ce vieil homme est difficile pour la nourriture.	2887974	O yaşlı adam dəhşət yeyəndir.
2602615	Les coïncidences sont les pires ennemies de la vérité.	2603303	Təsadüflər həqiqətin ən pis düşmənləridir.
2721165	J'ai une maison rouge.	3392731	Qırmızı bir evim var.
3449668	J'ai 30 ans.	3392725	Otuz yaşım var.
3684	Je ne veux pas aller à l'école.	3351298	Məktəbə getmək istəmirəm.
3093	Qu'est-ce que tu fais ?	3614201	Nə edirsən?
1502821	Es-tu bouddhiste ?	3989957	Sən buddistsən?
3106206	Tu es bouddhiste?	3989957	Sən buddistsən?
3213880	Regarde le ciel.	3989973	Səmaya bax.
4246	Bon appétit !	4100951	Nuş olsun!
547374	Alice sourit.	4170668	Alisa gülümsədi.
3082631	Bonne Journée internationale des femmes !	3085050	Beynəlxalq Qadınlar Gününüz Mübarək Olsun!
487897	C'est mon frère.	4100989	Bu mənim qardaşımdır.
342114	Le ciel est bleu.	4101003	Səma mavidir.
7412101	Tom l'a remarqué.	8705532	Tom bunu fərq etdi.
6298912	Je sais que ça paraît étrange, mais c'est vrai.	8705544	Bilirəm ki qəribədir amma doğrudur.
5893537	J'en ai bu.	8802358	Bir dənə içdim.
5738686	La femme est jeune.	5366763	Qadın cavandır.
9464332	Je ne suis pas prophète.	9510348	Peyğəmbər deyiləm.
