358573	¿Qué significa eso exactamente?	595785	Чьто само сє кажєть?
585500	Estoy casado.	656886	Мѫжата єсмь.
646447	Todos los que tomen la espada, a espada perecerán.	646430	Вьси приємъшии ножь, ножьмь погъıбнѫть.
900654	¿Qué dijo?	563010	Чьто реклъ?
1252011	En Grecia hay muchas islas.	618632	Въ Грьцѣхъ мънози сѫть острови.
2736043	Los niños son las flores de nuestra vida.	2686465	Дѣти сѫть цвѣти нашемоу житью.
1311711	Conozco a Tom desde la infancia.	2654764	Знаѭ Тома ѿ дѣтѧте.
573776	No cierres los ojos.	555603	Нє съмьжи очью.
3859903	El hombre es joven.	3212751	Человѣкъ тъ молодъ.
1208923	Tom no se acuerda de mi nombre.	3230863	Ѳома не помѧнеть имене моѥго.
3212774	¿Quién es esta persona?	493832	Къто чєловѣкъ сь?
2084359	El perro murió.	2270774	Пьсъ оумьрлъ.
432296	El perro está muerto.	2270772	Пьс мьртвъ.
1254455	¿Quién no lo sabe?	614180	Къто нє вѣсть?
1519522	El profesor se sentó en la silla.	2658973	Оучитель сѣдѣлъ на стольци.
2005822	Cinco más tres es ocho.	2703147	Пѧть и триѥ єста осмь.
3930001	¿Por qué no te vas a casa?	493830	Чємѹ нє идєши домови?
534195	Te lo agradezco.	493826	Кланıаѭ ти сѧ.
3594305	Gracias.	493826	Кланıаѭ ти сѧ.
1022027	¿Esto es un gato?	3093544	Котъ ли се?
1022027	¿Esto es un gato?	3093547	Се ли котъ?
518434	¿Dónde estamos?	1118638	Къде єсмъ?
518434	¿Dónde estamos?	1118639	Къде єсвѣ?
4381893	Eres hermosa.	622148	Єси красьна.
2717700	¿Hablas ruso?	2686201	Мълвиши ли роусьскъı?
735580	¿Qué hay en la caja?	779298	Чьто въ коробѣ?
789604	Hoy el viento es frío.	618469	Нъıнѣ вѣтръ стѹдєнъ.
4808938	Y ¿nadie te ayudó?	624432	И никъто жє ти нє помоглъ?
356203	¿Quién eres?	555692	Къто єси?
602554	Tu casa es grande.	663786	Домъ твои вєликъ.
602554	Tu casa es grande.	663787	Хоромъ твои вєликъ.
602554	Tu casa es grande.	663800	Хоромъ ти вєликъ.
602554	Tu casa es grande.	663802	Истъба ти вєлика.
