12709	À plus tard !	435274	Uz redzēšanos.
119811	Salut, Tom.	435264	Sveiks, Tom.
134350	Elle m'a donné ces vieilles pièces.	1489893	Viņa iedeva man šīs vecās monētas.
181306	C'est une table.	1050790	Tas ir galds.
373345	Bonjour !	435269	Sveiks.
373345	Bonjour !	435270	Labdien.
374826	Merci !	435275	Paldies!
387354	Bonjour, je suis Nancy !	435267	Sveiks, es esmu Nancy.
392034	Salut, John ! Comment vas-tu ?	435262	Sveiks, John! Kā tev iet?
392035	Salut, Tom. Bonjour.	435261	Sveiks, Tom. Labrīt.
392054	Bonjour, Chicago !	435268	Sveiks, Čikāga!
517034	Ce n'est pas ma faute.	2589502	Tā nav mana vaina.
538774	Le chat a attrapé la souris.	2300761	Kaķis nozvejotas peli.
806061	Le café est seulement tiède.	806064	Kafija ir tikai remdena.
806075	Vous n'avez aucun droit de porter un jugement sur ces gens.	806077	Tev nav tiesību tiesāt šos cilvēkus.
864350	C'est une imitation.	2525245	Tā ir imitācija.
960678	Les leucocytes sont des cellules sanguines.	2051083	Leikocīti ir asins šūnas.
1060295	Qui chante cette chanson ?	2674412	Kas dzied šo dziesmu?
493575	Comment ça va ?	474932	Kā jums klājas?
1430518	Parlez plus lentement, s’il vous plaît !	925055	Lūdzu, runājiet lēnāk!
1684318	Intéressant.	2528007	Intresanti.
1980692	Ça n'est pas ma faute.	2589502	Tā nav mana vaina.
2068222	Je voudrais apprendre le letton.	2068149	Es gribētu mācīties latviešu valodu.
2195888	La guerre, c'est l'enfer.	2767939	Karš ir elle.
3200260	Je veux vivre au Brésil.	3666891	Es gribu dzīvot Brazīlijā.
535031	Elle a sept fils.	2528535	Viņai ir septiņi dēli.
2389383	Je n’habite plus à Boston.	4801629	Es vairs nedzīvoju Bostonā.
427829	L'horloge ne fonctionne pas.	5221275	Pulkstenis neiet.
333999	L'horloge ne marche pas.	5221275	Pulkstenis neiet.
5975730	Je vais à la plage.	5975712	Es eju uz pludmali.
389616	Cette fleur est très belle.	4897963	Šis zieds ir ļoti skaists.
3250	Je t'aime !	2525096	Es mīlu tevi.
3346093	Je suis Ricardo.	6824279	Es esmu Ricardo.
7722379	Les Bédouins vivent dans le désert.	7718628	Beduīni dzīvo tuksnesī.
13788	Les citrons sont acides.	2525260	Citroni ir skābi.
8317241	C'est un bonhomme de neige.	8687607	Tas ir sniegavīrs.
