380198	Te amo.	4269285	Ez tora heskena.
888752	¿Qué tienes en la mano?	4269280	To dest çıçi esto?
528431	¡Buenas noches!	4269281	Şanê şima xeyr!
825041	Tengo mucha hambre.	4269279	Ez biya veyşan.
4434962	No te quedes parado.	4269282	Payra mevınd.
4436134	Espérame, ahí voy.	4269283	Mı bıpaw eza yena.
4436136	El sol se pone.	4269284	Roc şi awan.
4443618	Oigo a Tom.	4435027	Eza Tom aşnewna.
4443623	No estoy muerto, ¿no?	4434982	Ez merde niya, né?
4474886	El río fluye en frente de nuestra aldea.	4269286	Dewama ver, ro ravéreno.
4527894	Tom llegó.	4469432	Tom resa.
