2936	La vida es bella.	1800935	Elu on ilus.
2998	¿Dónde estás?	469067	Kus oled sa?
345181	Feliz Pascua.	2348705	Rõõmsaid Ülestõusmispühi!
375833	¡Bienvenido!	468972	Tere tulemast!
375872	¿Por qué?	3325945	Miks?
464495	¿Qué animal es grande?	469590	Mis loom on suur?
540294	Hoy es domingo.	1775194	Täna on pühapäev.
661607	Hoy es sábado.	957353	Täna on laupäev.
749912	¡Buenas noches a todos!	2552624	Head ööd kõigile!
2804789	África es la cuna de la humanidad.	2804797	Aafrika on inimkonna häll.
2917358	Yo tengo un corazón.	2786807	Mul on süda.
3096188	La chica que está bajo ese árbol se ve triste.	1403729	Noor naine selle puu all näib olevat kurb.
2246186	Quiero ver si él realmente lo ha reparado.	3772598	Tahan näha, kas ta parandas selle tõesti ära.
1331376	Tom culpa a Mary por todos sus problemas.	3772611	Tom süüdistab kõigis oma hädades Maryt.
2948493	Ya estaba oscuro, así que conduje muy lento por precaución.	3772623	Oli juba pime, sellepärast ma sõitsin ettevaatuse mõttes väga aeglaselt.
1271992	Google+ es una nueva red social.	3855931	Google + on uus sotsiaalvõrgustik.
3034541	Ya me lo has dicho antes.	3856144	Sa oled seda mulle enne öelnud.
2697685	Tom y Mary tuvieron una pelea.	3856150	Tomil ja Maril oli tüli.
589026	La casa está fría.	957344	Maja on külm.
3859412	Soy una anciana.	3772619	Ma olen vana naine.
1518424	En sus marcas, listos, ¡fuera!	815530	Tähelepanu, valmis olla, start!
1480581	¿Cómo de lejos está el museo?	4223226	Kui kaugel on siit muuseum?
1748302	Creo que Tom vive por aquí cerca.	4223237	Ma arvan, et Tom elab kusagil siin lähedal.
1582517	Ann terminó de pintar la pintura.	4223254	Ann lõpetas pildi maalimise.
3573421	Te dije que Tom estaba listo.	4721317	Ma ütlesin sulle, et Tom on valmis.
754641	El padre es bueno.	2536205	Isa on hea.
622281	Bésame.	4432876	Suudle mind.
1004755	Su casa es grande.	957335	Teie maja on suur.
5168786	A Tom no le gusta cómo se ríe Mary.	4721270	Tomile ei meeldi, kuidas Mary naerab.
403913	¡Buenos días!	4253305	Tere hommikust!
5056479	Mi computadora portátil usa Linux.	5925016	Minu laptop kasutab Linuxit.
4456343	Veo el perro.	6734167	Ma näen seda koera.
931686	Estos autos están fabricados en Japón.	3254435	Need autod on valmistatud Jaapanis.
373297	¡Bienvenidos!	468972	Tere tulemast!
479870	No.	509770	Ei.
