14260	J'ai bien dormi cette nuit.	1946069	میں کل رات سکون سے سویا۔
786355	Votre dent doit être extraite.	1652130	تمھارا دانت نکالنا پڑے گا۔
2043127	L'ourdou est ma langue maternelle.	2043116	اردو میری مادری زبان ہے۔
2043148	Le français est ma langue maternelle.	2043134	فرانسیسی میری مادری زبان ہے۔
2043226	L'ourdou est notre langue maternelle.	2043209	اردو ہماری مادری زبان ہے۔
2043267	L'ourdou est sa langue maternelle.	2043237	اردو اس کی مادری زبان ہے۔
2991913	Est-ce que tu caches quelque chose ?	4188812	تم کچھ چھپا رہے ہو؟
2991913	Est-ce que tu caches quelque chose ?	4188813	آپ کچھ چھپا رہے ہیں؟
5764434	Est-ce que tu connais bien Tom ?	1566614	تم ٹام کو کتنی اچھی طرح جانتے ہو؟
5764436	Connais-tu bien Tom ?	1566614	تم ٹام کو کتنی اچھی طرح جانتے ہو؟
5764439	Connaissez-vous bien Tom ?	1566614	تم ٹام کو کتنی اچھی طرح جانتے ہو؟
7722379	Les Bédouins vivent dans le désert.	8135868	بدو لوگ ریگستان میں رہتے ہیں۔
