3250	Je t'aime !	718878	Löfob oli.
3989	Où es-tu ?	718890	Kiöpo binol-li?
6900	Je buvais du lait.	3406898	Ädrinob miligi.
13358	Bob et Tom sont frères.	785387	Hiel Bob e hiel Tom binoms brods.
2532134	Il s'est suicidé.	3430723	Eoksasenom.
128524	Sois sérieux.	3378454	Fefolöd.
132332	Il est mon ami.	785382	Binom flen obik.
182757	J'ai une question.	720613	Labob säki.
514472	Le chat a poursuivi la souris.	747624	Kat epöjuton mugi.
554809	Le cours d'allemand commence le 5 octobre.	744900	Deutänapükatidodem primon tü del lulid tobula.
567433	J'aime le soleil.	745578	Löfob soli.
587216	Mon père est jeune.	806324	Fat obik binom yunik.
611808	Change le drapeau, s'il te plait.	1310851	Votükolös stäni.
611809	Changez le drapeau, s'il vous plait.	1310852	Votükorös stäni.
652190	Ces femmes sont mes tantes.	762101	Voms at binofs zians obik.
664134	Il apprend vite.	1884949	Studom vifiko.
744865	Pour dire la vérité, je ne suis pas ton père.	744855	Ad sagön verati, no binob fat olik.
781583	Où est la vodka ?	781582	Kitopo binon-li vatil?
964663	Je vois un livre.	719038	Logob buki.
1122249	J'ai une maison.	812778	Labob domi.
1464803	Elle a les yeux verts.	1493463	Labof logis grünik.
1493439	Il a les yeux verts.	1493460	Labom logis grünik.
1580225	Les chats n'aiment pas les chiens.	3423581	Kats no löfilons dogis.
2232249	J’ai contribué.	3452295	Ekeblünob.
2232407	Tu criais.	3423585	Äluvokädol.
2388937	Marie salait la viande.	3617532	Maria äsalof miti.
2425971	Notre Père, qui es aux cieux, Que ton nom soit sanctifié, Que ton règne vienne, Que ta volonté soit faite sur la terre comme au ciel. Donne-nous aujourd'hui notre pain de ce jour. Pardonne-nous nos offenses Comme nous pardonnons aussi à ceux qui nous ont offensés. Et ne nous soumets pas à la tentation, mais délivre-nous du mal.	3314481	O Fat obas, kel binol in süls, paisaludomöz nem ola! Kömomöd monargän ola! Jenomöz vil olik, äs in sül, i su tal! Bodi obsik vädeliki givolös obes adelo! E pardolös obes debis obsik, äs id obs aipardobs debeles obas. E no obis nindukolös in tentadi; sod aidalivolös obis de bad. Jenosöd!
2931135	Elle étudiait.	3376978	Ästudof.
3314293	Je suis tombé dans un nid d’euro-collabos qui ne savent pas ce que l’Europe cache. Intelligents, mais pas malins.	3314292	Efalob ini näst kovobanas yuropik, kels no sevons, kelosi Yurop klänedon. Binons visedälik, ma no käfik.
3375628	Ma sœur ne travaille pas à Paris.	3377424	Sör obik no vobof in Paris.
3414957	J'ai appris à penser comme Tom.	3414973	Elärnob ad tikön äs hiel Tom.
333688	Elle adore les animaux.	3452287	Lelöfilof nimsi.
3482334	Est-ce que tu crois Tom ?	3483067	Kredol-li hieli Tom?
3482994	Tom est très célèbre.	3483001	Hiel Tom binom vemo famik.
2911262	Vous avez été adoptés.	3773309	Pedaoptols.
1611032	Ceci n'est pas une pipe.	4445362	Atos no binon pip.
393419	Il m'a envoyé une courte lettre.	4493282	Esedom obe penedi brefik.
1892149	C'est pire que tu ne penses.	5128939	Binos badikumo ka tikol.
1892150	C'est pire que vous ne pensez.	5128939	Binos badikumo ka tikol.
2028220	La propriété, c'est le vol.	5070478	Dalab binon tif.
7722379	Les Bédouins vivent dans le désert.	7701406	Beduins lifons in däsärt.
934633	Les chiens aboient.	7927469	Dogs vaulons.
934632	Des chiens aboient.	7927469	Dogs vaulons.
131630	Sait-il parler anglais ?	7953981	Кanom-li spikön Linglänapüki?
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	7954045	Bal, tel, kil, fol, lul, mäl, vel, jöl, zül, deg.
6532	J'écris une lettre.	718902	Penob penedi.
1019193	Je suis en train d'écrire une lettre.	718902	Penob penedi.
2818955	Je lis un livre.	718905	Reidob buki.
3314454	Je suis en train de lire un livre.	718905	Reidob buki.
373752	Il neige.	718908	Nifos.
2577803	Je pense, donc je suis.	718909	Tikob, so binob.
331611	Je pense donc je suis.	718909	Tikob, so binob.
5996726	Je pense, donc j'existe.	718909	Tikob, so binob.
6597942	Nous sommes ennemis.	8055143	Binobs neflens.
6597943	Nous sommes ennemies.	8055143	Binobs neflens.
2200323	Je chantais.	8055124	Äkanitob.
8273	Hier, j'ai acheté un livre.	8113192	Ädelo äremob buki.
972737	J'ai acheté un livre hier.	8113192	Ädelo äremob buki.
740436	Hier j'ai acheté un livre.	8113192	Ädelo äremob buki.
751752	Je parle interlingua.	719046	Spikob eli Interlingua.
127545	J'ai deux livres.	719049	Labob bukis tel.
1447158	Le livre est petit.	719048	Buk binon smalik.
5261407	Elle aime le vin.	720610	Plidof vini.
5261405	Il aime le vin.	8217512	Plidom vini.
5331932	J'ai une demande.	720613	Labob säki.
134716	Elle a aussi acheté le dictionnaire.	720634	Äremof vödabuki i.
1314953	Il va neiger.	723306	Onifos.
801103	Prends un bain s'il te plaît.	731769	Banolös.
130106	Il a trois frères.	723331	Labom blodis kil.
3346	Allen est un poète.	8305091	Allen binom poedan.
7074189	L'Inde est mon pays.	8307220	Lindän binon län obik.
7740703	Tom a des amis en Allemagne.	8319304	El Tom labom flenis in Deutän.
8331226	La vérité est amère.	8332216	Verat binon biedik.
2563631	Nous marchions.	8338097	Ägolobs.
4947745	Nous sommes allés à pied.	8338503	Egolobs.
4947746	Nous sommes allées à pied.	8338503	Egolobs.
2532818	Nous baillions.	8338098	Äcavobs.
2938323	Tom se concentrait.	8338099	El Tom äleküpälom.
2200912	Je saignais.	8338110	Äbludob.
2560540	Tom se blessait.	8338112	El Tom änofikom.
2560635	Tom boitait.	8055138	Tomas äboatagolom.
448675	Je suis médecin.	8346315	Binob sanan.
433633	Ils ne passeront pas !	8361431	No obeigolons!
8364225	Nous vivons en société.	7995557	Lifobs in sog.
139230	L'Amérique est très vaste.	8389403	Merop binon vemo gretik.
2068378	Je suis un chat.	8508443	Binob kat.
6710193	Pourquoi suis-je seul ?	8518153	Kikodo binob-li soelik?
562722	Personne ne sait tout.	8518674	Nek nolon valikosi.
4163742	Ici, personne ne mange de viande.	8540299	Nek fidon miti is.
336934	C'est un crayon.	8550444	Etos binon stib.
8553539	L'Univers est un mystère.	8553713	Lespad binon müster.
8499351	Les éléphants mangent de l'herbe.	8555320	Leefads fidons yebi.
2185038	Ils ne mangent pas de viande.	8555727	No fidons miti.
2185039	Elles ne mangent pas de viande.	8555727	No fidons miti.
2185038	Ils ne mangent pas de viande.	8555857	No fidoms miti.
2185039	Elles ne mangent pas de viande.	8555868	No fidofs miti.
1551188	Je ne mange pas de viande.	8557101	No fidob miti.
2724289	Je bois de l'eau.	8563693	Drinob vati.
4385218	Nous buvons de l'eau.	8563701	Drinobs vati.
2564878	Elle mourait.	8565804	Ädeadof.
997356	Ils me tueront.	8569086	Odeidons obi.
1492004	Ils vont me tuer.	8569086	Odeidons obi.
1111622	Je vais te tuer.	8569085	Odeidob oli.
5066670	Je le tuerai.	8569243	Odeidob omi.
2269517	Je vais le tuer.	8569243	Odeidob omi.
5171810	L'as-tu tuée ?	8569258	Ädeidol-li ofi?
8580189	Sont-ils heureux ?	8582795	Binons-li fredik?
8580189	Sont-ils heureux ?	8582796	Binoms-li fredik?
2965222	Tu n'es pas un étudiant.	8587383	No binol studan.
2707397	Je suis gay.	2785856	Binob otgeniälik.
391446	Qui a découvert l'Amérique ?	8648010	Kim äletüvom Lamerikäni?
2972851	Reste à la maison.	8626636	Blebolöd domo.
8681815	Mon chien veut jouer.	8682262	Dog obik vilom pledön.
