135196	Je veux dormir.	1551604	Dw i eisiau cysgu.
332314	J'aime les langues.	1400808	Dw i'n hoffi ieithoedd.
333598	Je travaille.	1551680	Dw i'n gweithio.
377224	Il a un chien.	1551620	Mae ci 'da fe.
378858	Il a une voiture.	1551626	Mae car 'da fe.
395925	Qui suis-je ?	1493473	Pwy ydw i?
530346	Joyeux anniversaire !	1494702	Penblwydd Hapus!
1494892	J'apprendrai l'allemand.	2318115	Dw i'n mynd i ddysgu almanaeg.
1515101	J'ai les yeux noirs.	1524747	Mae llygaid du 'da fi.
3524066	J'aime parler gallois.	3524064	Dw i'n hoffi siarad Cymraeg.
465948	T'inquiète.	4171935	Paid phoeni.
465948	T'inquiète.	4171936	Paid â phoeni.
4748691	Laurie est une belle fille.	3138761	Merch deg yw Laurie.
4748835	Le thé est trop froid être bu.	4748860	Mae'r te yn rhy oer.
3250	Je t'aime !	1392566	Dw i'n dy garu di.
815616	Le jardin était plein de fleurs jaunes.	1977869	Roedd yr ardd yn llawn o flodau melyn.
1181439	Tom ne comprend pas le français.	1964087	Dydy Tom ddim yn deall Ffrangeg.
937551	Le nouveau professeur est en salle de classe.	1981643	Mae'r athro newydd yn y dosbarth.
1330545	Le nouveau professeur est dans la classe.	1981643	Mae'r athro newydd yn y dosbarth.
1335977	Où se trouve la poste ?	1979126	Ble mae'r swyddfa bost?
1335978	Où se trouve le bureau de poste ?	1979126	Ble mae'r swyddfa bost?
1110084	Aimes-tu le thé ?	1415426	Wyt ti'n hoffi te?
458960	Au revoir, Sayoko.	6443800	Hwyl, Sayoko.
374826	Merci !	6443808	Diolch!
6890178	Tom avait travaillé.	6892700	Roedd Tom wedi gweithio.
1537892	Je devrais essayer ce rasoir électrique avant de l'acheter.	6894297	Dylwn i drio y razor trydan hwn cyn ei brynu o.
1251200	On est tous impatients de voir le film.	7352043	Rydyn ni'n awyddus iawn i weld y ffilm.
2334714	Nous buvons trop.	7356214	Rydyn ni'n yfed gormod.
4612296	Aiment-ils les chats ?	7356642	Ydyn nhw'n caru cathod?
1223662	Je vous rendrai visite à votre bureau, demain.	8115240	Byddaf yn ymweld â thi yn dy swyddfa yfory.
2884009	J’aime parler en français.	8118028	Dw i'n hoffi siarad Ffrangeg.
6210243	J'attends que la lumière change.	8118037	Dw i'n aros i'r golau newid.
135108	Comme je suis occupé, je ne peux pas y aller.	8118069	Dw i'n brysur, dw i methu mynd.
4116684	Mais pourquoi est-ce que tu ne veux pas aller à Gênes ?	8118076	Ond pam dwyt ti ddim eisiau mynd i Genefa?
6857708	Montrez-moi la liste s'il vous plaît.	8118084	Dangoswch y rhestr i mi.
7411692	Est-ce que Tom chante ?	8696654	Icennu tom?
