2822	Me llamo Jack.	516787	मेरा नाम जैक है।
2973	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	488910	एक, दो, तीन, चार, पाँच, छः, सात, आठ, नौ, दस।
330100	El Monte Fuji es la montaña más alta de Japón.	1782126	माउन्ट फूजी जापान का सबसे बड़ा पहाड़ है.
439831	¿Qué tiempo hizo ayer?	443101	कल का मौसम कैसा था?
482594	¡No puedo creerlo!	482442	मुझे विश्वास नहीं होता!
487514	Mi casa es tu casa.	487513	इसको अपना घर ही समझो।
487516	Mi casa es su casa.	487515	इसको अपना घर ही समझिए।
506232	Tengo ganas de verlo.	473768	मैं उससे मिलने के लिए उत्सुक हूँ।
529019	Esta lapicera me pertenece.	452443	यह कलम मेरी है।
545198	Ayer no había ningún niño en el parque.	516669	कल पार्क में एक भी बच्चा नहीं था।
556415	Trabajadores tienen que llevar el cabello corto.	459426	कर्मचारियों को अपने बाल छोटे कटाने होते हैं।
608669	No puedo caminar más lejos.	487428	मैं और नहीं चल सकती।
738585	Picasso es un artista famoso.	486342	पिकासो एक बहुत प्रसिद्ध कलाकार है।
857015	Su ropa siempre huele mal.	611427	उसके कपड़े हमेशा बदबू करतें हैं।
863866	Mi tío es un jugador de cricket aficionado.	446317	मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।
863904	Un edificio nuevo está siendo construido frente a mi casa.	940472	मेरे घर के सामने एक नई ईमारत बन रही है।
864220	Él no puede correr muy rápido.	485568	वह ज़्यादा तेज़ नहीं भाग सकता।
867509	Mi hermano nunca ha sido vencido en el tenis.	940470	मेरा भाई टेनिस मैं कभी नहीं हारा है।
1273894	O tú o yo estamos equivocados.	968332	या तुम गलत हो या मैं |
1508828	¿Lo has visto?	2019296	क्या तुमने उसे देखा है?
1845386	El agua mineral natural contiene calcio, magnesio, sodio, potasio e incluso nitratos.	2047571	प्राकृतिक खनिज पानी में समाहित है चूर्णातु, भ्राजातु, क्षारातु, दहातु, व भूयीयों भी।
2019380	¿Puedes verlo?	2019385	क्या तुम वह देख सकते हो?
2051908	Te regalaré una bicicleta nueva por tu cumpleaños.	2428247	मैं तुम्हे तुम्हारे जन्मदिन पर साइकिल तोहफे में दूँगी.
2056620	No sé por qué están tan enojados con nosotros.	2056624	हम नहीं जानते वह हमसे इतने नाराज़ क्यूँ हैं.
2117157	¿Es usted miembro de esta sociedad?	516635	क्या आप इस समिति के सदस्य हैं?
3786272	¿Cuándo empieza el concierto?	3786277	संगीत समारोह कब प्रारंभ हो रहा है ?
3788584	Puedes intentar adivinarlo tres veces.	3788592	आप तीन मौके ले सकते हैं।
3788593	¡Mario, dejá de llamarme gay! ¡Soy heterosexual!	3788598	मारीओ, मुझे समलैंगिक कहना बंद करो! मैं सीधा हूँ!
3788603	¿Tienes WhatsApp?	3788606	वाट्सऐप क्या है?
3788641	Ella te respeta.	3788645	वह आपका सम्मान करती है।
4265730	Este niño es su hijo.	4265725	यह लड़का उसका बेटा है।
5001361	Ella amenazó con matarme.	3134893	उसने मुझे मारने की धमकी दी है।
382058	¡Gracias!	509386	धन्यवाद!
8622122	A casi todos los niños japoneses les gusta jugar basquetbol.	461256	लगभग सारे जापानी लड़कों को बास्केटबॉल खेलना अच्छा लगता है।
759996	Este cuento vale la pena leerse de nuevo.	8879577	यह कहानी फिर से पढ़ने लायक है।
