1225781	Él es rico y yo pobre.	2085777	तो श्रीमंत आहे व मी गरीब.
1289868	Son casi las tres.	2485617	जवळजवळ तीन वाजले आहेत.
3782773	¿Ya nos vamos?	2701431	आपण निघतोय का?
4044165	Bebí demasiado vino y me mareé.	2650882	मी भरपूर वाईन प्यायलो, व मला चक्कर आली.
4058465	Lo corregimos.	2908137	आम्ही दुरुस्त केलं.
4347450	Quiero mejorar mi alemán.	4347390	मला माझी जर्मन सुधारायची आहे.
4486050	No es así. Conviértase en un seguidor de Barack Obama.	2619722	असं नव्हे. बराक ओबामाचे अनुयायी व्हा.
7411819	No leo.	6145994	मी वाचत नाही.
7703279	¿Quién te ha enseñado esta canción?	4360147	ते गाणं तुम्हाला कोणी शिकवलं?
8679183	Tom tiene un reloj inteligente.	5219620	टॉमकडे एक स्मार्टवॉच आहे.
9127037	Baje la radio.	2176051	रेडिओचा आवाज कमी कर.
9174353	Él está viendo la TV en su habitación.	3304789	तो त्याच्या खोलीत टीव्ही बघतो आहे.
9189866	Soy una niñita, no voy a la escuela. Cómprame sandalias, me voy a casar.	5068152	मी छोटी मुलगी आहे, पण मी शाळेत जात नाही. माझ्यासाठी चपला विकत घ्या, माझं लग्न होणार आहे.
5038568	Rómulo y Remo eran hermanos.	8407842	रॉम्युलस आणि रीमस बंधू होते.
5038568	Rómulo y Remo eran hermanos.	8407844	रॉम्युलस आणि रीमस भाऊ होते.
4623151	El portugués es una lengua romance.	4509519	पोर्तुगीज एक रोमान्स भाषा आहे.
9663039	Sami enseña árabe en Egipto.	9344890	सामी इजिप्तमध्ये अरबी शिकवतो.
9671958	Fue peligroso.	5062423	धोकादायक होती.
9780474	Eso es lo que estaba haciendo.	4438855	तेच तर मी करत होते.
