131146	Il possède beaucoup d'argent.	3668646	Ima veliko denarja.
483952	Elles jalousent notre succès.	3668645	Zavidajo nam naš uspeh.
494240	Il est français.	566042	Je Francoz.
536375	Cette terre est ma propriété.	2155118	Ta zemljišča je moja lastnina.
1464840	Tous les humains sur Terre sont issus d'un ancêtre commun.	3668659	Vsi ljudje na Zemlji imajo skupnega prednika.
1787765	La liberté individuelle est l'essence de la démocratie.	3668662	Osebna svoboda je bistvo demokracije.
2135540	Je ne veux pas traduire cette phrase.	2125361	Nočem prevesti te povedi.
2435772	Je veux rejoindre ton groupe.	3668666	Rad bi se pridružil tvoji skupini.
2615236	Je vais habituellement à l'école à pied.	2618416	Običajno grem v šolo peš.
3543842	Tom veut se marier.	3005182	Tom se hoče oženiti.
437657	J'ai une faim de loup.	2450718	Lačen sem kot volk.
3667497	Quand vous naviguez en bateau, la carte marine vous indique des hauts-fonds.	3667498	Ko krmarite ladjo, vam pomorska karta kaže plitvine.
987867	Ceci est Brian Rock.	5810477	To je Brian Rock.
5975730	Je vais à la plage.	5975770	Grem na plažo.
3620818	J'habite à New York.	3932346	Živim v New Yorku.
3346093	Je suis Ricardo.	6824290	Jaz sem Ricardo.
3346093	Je suis Ricardo.	6824291	Sem Ricardo.
331611	Je pense donc je suis.	2577833	Mislim, torej sem.
5331679	Je ne veux pas être différent.	8020900	Nočem biti različen.
5331680	Je ne veux pas être différente.	8020900	Nočem biti različen.
8317241	C'est un bonhomme de neige.	8689674	To je snežak.
