3992	Il fait la tête.	2241795	Oñembopochy kuri.
617740	Eurêka !	2610626	Ajuhúma!
948110	Le pénis est entré dans le vagin.	2225451	Tembo oike Takópe.
968006	Où puis-je trouver un bon club gay?	2225470	Mo'õpiko ikatu atopa petei klu géi porã?
1083721	Je ris de l'enfant qui est tombé dans la rivière à Rio de Janeiro.	2240138	Che aipuka pe mitãre ho'ahague ysyrýpe táva Rio de Hanéirope.
1326774	L'homme diffère des animaux en ce qu'il peut parler.	2605959	Ava ñemoingoeva tymba, ava oñe'ẽ.
1396049	Tom a un gros pénis.	2225452	Tom rembo itucháva.
1468877	Oh, vraiment ? Quand est-il parti ?	2609594	Añetépa? Araka'épa oho va'ekue?
1900905	Mais c'est la vérité !	2601451	Kóva añetekatu!
329743	Est-ce qu'il fait chaud là-bas ?	3783207	Amo ombyry'ái piko?
329744	J'arrive immédiatement.	3783208	Aguahẽta sapy'áme.
329744	J'arrive immédiatement.	3783209	Aguahẽ hína.
329748	Désolé, je n'y serai pas.	3783212	Cheñyrõmi, ndahamo'ãi.
329802	Y a-t-il quelqu'un pour m'aider ?	3783274	Ikatu chepytyvõ?
329804	Pour dire la vérité, j'ai perdu ton stylo.	3783276	Añetehápe, akañy nde haiha.
5374476	Les tortues n'ont pas de dents.	5827152	Karumbekuéra ndorekói tãinguéra.
3648943	Il est dépourvu d'ambition politique.	6483239	Ha'e ndorekoitéi pota asy jokuaikuaarã.
537908	Si l'on peut dire d'un tigre que c'est un gros chat, on peut aussi dire qu'un chat est un petit tigre.	6483262	Ikatúrõ oje'e jaguarete ha'e hína peteĩ mbarakaja guasu, ikatu avei oje'e mbarakaja ha'e hína peteĩ jaguarete michĩ.
15111	Tenez.	6483263	Péina ereko.
1703912	Ça ne se produira plus.	6727536	Ndojehumo'ãi.
1703912	Ça ne se produira plus.	6727538	Upéva ndojehumo'ãi.
1703912	Ça ne se produira plus.	6727539	Ndoikojeymo'ãi
1271027	Peux-tu venir demain ?	6727579	Ikatúpa reju ko'ẽrõ?
4884700	Nous avons un chien.	6829082	Jareko peteĩ jagua.
4884700	Nous avons un chien.	6829084	Roreko peteĩ jagua.
1856765	Je n'ai pas encore réuni suffisamment de contenu pour écrire un livre.	7032376	Ne'ĩra amono'õ mba'ekuaarã oĩmbáva ahai hag̃ua peteĩ aranduka.
1700844	La véritable terreur est de se réveiller un matin et de découvrir que votre classe de lycée dirige le pays.	7032437	Mba'e oporokyhyjeitéva niko japáyvo peteĩ pyharevépe ha jahecharamo ñane mbo'ehao irũnguéra oisãmbyhy hína ñane retã.
2264063	Elle se moqua de mon acné.	7032486	Ha'e opuka che jari'íre.
7098090	Je t'aime, Laurie.	7039783	Rohayhu, Laurie.
2075910	Je t'aime.	6691509	Rohayhu.
3250	Je t'aime !	6691511	Rohayhu!
5230593	Papa, je t'aime !	2241777	Papa, rohayhu!
1460787	Je t'aime encore.	7039780	Rohayhu gueteri.
629358	Je t'aime aussi.	7039786	Rohayhu avei.
5276564	France, je t'aime !	7039787	Hyãsia, rohayhu!
373345	Bonjour !	2601015	Maitei!
509819	Salut !	2601015	Maitei!
477136	Oui.	2601016	Héẽ.
1707375	Ceci est un chien.	1925084	Kóva jagua.
7745860	Bon chien !	6483300	Jagua porã!
529821	Le chien est blanc.	7032761	Jagua imorotĩ.
534274	Mon chien est blanc.	7032757	Che jagua imorotĩ.
430613	Ce chien est blanc.	7032767	Ko jagua imorotĩ.
934633	Les chiens aboient.	7107805	Jaguakuéra oñarõ hína.
3100	Je ne sais pas.	2225268	Ndaikuaái.
428377	Qui est-il ?	2613130	Mávapa ha'e?
2460110	Qui est-il ?	2613130	Mávapa ha'e?
4619023	Quel est-il ?	2613130	Mávapa ha'e?
7809839	Qui est-elle ?	2613130	Mávapa ha'e?
13185	Qui est-elle ?	2613130	Mávapa ha'e?
4627739	Toujours.	7032349	Opa ára.
3643676	Les chiens sont fidèles.	7107806	Jaguakuéra ijeroviaha hína.
1333247	Nous sommes en train de manger des pommes.	7039758	Ja'u hína guavirana'a.
1083711	Quatre hommes chantent.	6114320	Irundy kuimba'e opurahéi.
2707397	Je suis gay.	2225468	Che ha'éva petei géi
3792968	Ai-je eu tort ?	8901581	Che piko ajavy?
7696223	Ils y vivaient heureux.	8910105	Oiko hikuái vy'apópe upépe.
5982255	Je ne peux rester sans rien faire. Je vais faire la sieste.	8972474	Ndaikatúi aiko rei ajapo'ỹ mba'eve. Che akese asaje jave.
8407783	Attendez quelques secondes.	9707786	Eha'arõmíkena.
